PolicyName	Path	Type
AmazonGuardDutyFullAccess	/	AWS managed
AmazonGuardDutyReadOnlyAccess	/	AWS managed
AmazonGuardDutyServiceRolePolicy	/aws-service-role/	AWS managed
AmazonInspectorFullAccess	/	AWS managed
AmazonInspectorReadOnlyAccess	/	AWS managed
AmazonInspectorServiceRolePolicy	/aws-service-role/	AWS managed
AmazonKendraFullAccess	/	AWS managed
AmazonKendraReadOnlyAccess	/	AWS managed
AmazonKinesisAnalyticsFullAccess	/	AWS managed
AmazonKinesisAnalyticsReadOnly	/	AWS managed
AmazonKinesisFirehoseFullAccess	/	AWS managed
AmazonKinesisFirehoseReadOnlyAccess	/	AWS managed
AmazonKinesisFullAccess	/	AWS managed
AmazonKinesisReadOnlyAccess	/	AWS managed
AmazonKinesisVideoStreamsFullAccess	/	AWS managed
AmazonKinesisVideoStreamsReadOnlyAccess	/	AWS managed
AmazonLaunchWizardFullaccess	/	AWS managed
AmazonLexFullAccess	/	AWS managed
AmazonLexReadOnly	/	AWS managed
AmazonLexRunBotsOnly	/	AWS managed
AmazonMachineLearningBatchPredictionsAccess	/	AWS managed
AmazonMachineLearningCreateOnlyAccess	/	AWS managed
AmazonMachineLearningFullAccess	/	AWS managed
AmazonMachineLearningManageRealTimeEndpointOnlyAccess	/	AWS managed
AmazonMachineLearningReadOnlyAccess	/	AWS managed
AmazonMachineLearningRealTimePredictionOnlyAccess	/	AWS managed
AmazonMachineLearningRoleforRedshiftDataSourceV2	/service-role/	AWS managed
AmazonMacieFullAccess	/	AWS managed
AmazonMacieHandshakeRole	/service-role/	AWS managed
AmazonMacieServiceRole	/service-role/	AWS managed
AmazonMacieServiceRolePolicy	/aws-service-role/	AWS managed
AmazonMacieSetupRole	/service-role/	AWS managed
AmazonManagedBlockchainConsoleFullAccess	/	AWS managed
AmazonManagedBlockchainFullAccess	/	AWS managed
AmazonManagedBlockchainReadOnlyAccess	/	AWS managed
AmazonManagedBlockchainServiceRolePolicy	/aws-service-role/	AWS managed
AmazonMCSFullAccess	/	AWS managed
AmazonMCSReadOnlyAccess	/	AWS managed
AmazonMechanicalTurkFullAccess	/	AWS managed
AmazonMechanicalTurkReadOnly	/	AWS managed
AmazonMobileAnalyticsFinancialReportAccess	/	AWS managed
AmazonMobileAnalyticsFullAccess	/	AWS managed
AmazonMobileAnalyticsNon-financialReportAccess	/	AWS managed
AmazonMobileAnalyticsWriteOnlyAccess	/	AWS managed
AmazonMQApiFullAccess	/	AWS managed
AmazonMQApiReadOnlyAccess	/	AWS managed
AmazonMQFullAccess	/	AWS managed
AmazonMQReadOnlyAccess	/	AWS managed
AmazonMSKFullAccess	/	AWS managed
AmazonMSKReadOnlyAccess	/	AWS managed
AmazonPersonalizeFullAccess	/service-role/	AWS managed
AmazonPollyFullAccess	/	AWS managed
AmazonPollyReadOnlyAccess	/	AWS managed
AmazonQLDBConsoleFullAccess	/	AWS managed
AmazonQLDBFullAccess	/	AWS managed
AmazonQLDBReadOnly	/	AWS managed
AmazonRDSBetaServiceRolePolicy	/aws-service-role/	AWS managed
AmazonRDSDataFullAccess	/	AWS managed
AmazonRDSDirectoryServiceAccess	/service-role/	AWS managed
AmazonRDSEnhancedMonitoringRole	/service-role/	AWS managed
AmazonRDSFullAccess	/	AWS managed
AmazonRDSPreviewServiceRolePolicy	/aws-service-role/	AWS managed
AmazonRDSReadOnlyAccess	/	AWS managed
AmazonRDSServiceRolePolicy	/aws-service-role/	AWS managed
AmazonRedshiftFullAccess	/	AWS managed
AmazonRedshiftQueryEditor	/	AWS managed
AmazonRedshiftReadOnlyAccess	/	AWS managed
AmazonRedshiftServiceLinkedRolePolicy	/aws-service-role/	AWS managed
AmazonRekognitionCustomLabelsFullAccess	/	AWS managed
AmazonRekognitionFullAccess	/	AWS managed
AmazonRekognitionReadOnlyAccess	/	AWS managed
AmazonRekognitionServiceRole	/service-role/	AWS managed
AmazonRoute53AutoNamingFullAccess	/	AWS managed
AmazonRoute53AutoNamingReadOnlyAccess	/	AWS managed
AmazonRoute53AutoNamingRegistrantAccess	/	AWS managed
AmazonRoute53DomainsFullAccess	/	AWS managed
AmazonRoute53DomainsReadOnlyAccess	/	AWS managed
AmazonRoute53FullAccess	/	AWS managed
AmazonRoute53ReadOnlyAccess	/	AWS managed
AmazonRoute53ResolverFullAccess	/	AWS managed
AmazonRoute53ResolverReadOnlyAccess	/	AWS managed
AmazonS3FullAccess	/	AWS managed
AmazonS3ReadOnlyAccess	/	AWS managed
AmazonSageMakerFullAccess	/	AWS managed
AmazonSageMakerMechanicalTurkAccess	/	AWS managed
AmazonSageMakerNotebooksServiceRolePolicy	/aws-service-role/	AWS managed
AmazonSageMakerReadOnly	/	AWS managed
AmazonSESFullAccess	/	AWS managed
AmazonSESReadOnlyAccess	/	AWS managed
AmazonSNSFullAccess	/	AWS managed
AmazonSNSReadOnlyAccess	/	AWS managed
AmazonSNSRole	/service-role/	AWS managed
AmazonSQSFullAccess	/	AWS managed
AmazonSQSReadOnlyAccess	/	AWS managed
AmazonSSMAutomationApproverAccess	/	AWS managed
AmazonSSMAutomationRole	/service-role/	AWS managed
AmazonSSMDirectoryServiceAccess	/	AWS managed
AmazonSSMFullAccess	/	AWS managed
AmazonSSMMaintenanceWindowRole	/service-role/	AWS managed
AmazonSSMManagedInstanceCore	/	AWS managed
AmazonSSMReadOnlyAccess	/	AWS managed
AmazonSSMServiceRolePolicy	/aws-service-role/	AWS managed
AmazonSumerianFullAccess	/	AWS managed
AmazonTextractFullAccess	/	AWS managed
AmazonTextractServiceRole	/service-role/	AWS managed
AmazonTranscribeFullAccess	/	AWS managed
AmazonTranscribeReadOnlyAccess	/	AWS managed
AmazonVPCCrossAccountNetworkInterfaceOperations	/	AWS managed
AmazonVPCFullAccess	/	AWS managed
AmazonVPCReadOnlyAccess	/	AWS managed
AmazonWorkDocsReadOnlyAccess	/	AWS managed
AmazonWorkLinkFullAccess	/	AWS managed
AmazonWorkLinkReadOnly	/	AWS managed
AmazonWorkLinkServiceRolePolicy	/aws-service-role/	AWS managed
AmazonWorkMailEventsServiceRolePolicy	/aws-service-role/	AWS managed
AmazonWorkMailFullAccess	/	AWS managed
AmazonWorkMailReadOnlyAccess	/	AWS managed
AmazonWorkSpacesAdmin	/	AWS managed
AmazonWorkSpacesApplicationManagerAdminAccess	/	AWS managed
AmazonWorkSpacesSelfServiceAccess	/	AWS managed
AmazonWorkSpacesServiceAccess	/	AWS managed
AmazonZocaloFullAccess	/	AWS managed
AmazonZocaloReadOnlyAccess	/	AWS managed
APIGatewayServiceRolePolicy	/aws-service-role/	AWS managed
ApplicationAutoScalingForAmazonAppStreamAccess	/service-role/	AWS managed
ApplicationDiscoveryServiceContinuousExportServiceRolePolicy	/aws-service-role/	AWS managed
AutoScalingConsoleFullAccess	/	AWS managed
AutoScalingConsoleReadOnlyAccess	/	AWS managed
AutoScalingFullAccess	/	AWS managed
AutoScalingNotificationAccessRole	/service-role/	AWS managed
AutoScalingReadOnlyAccess	/	AWS managed
AutoScalingServiceRolePolicy	/aws-service-role/	AWS managed
AWSAccountActivityAccess	/	AWS managed
AWSAccountUsageReportAccess	/	AWS managed
AWSAgentlessDiscoveryService	/	AWS managed
AWSApplicationAutoscalingAppStreamFleetPolicy	/aws-service-role/	AWS managed
AWSApplicationAutoscalingComprehendEndpointPolicy	/aws-service-role/	AWS managed
AWSApplicationAutoScalingCustomResourcePolicy	/aws-service-role/	AWS managed
AWSApplicationAutoscalingDynamoDBTablePolicy	/aws-service-role/	AWS managed
AWSApplicationAutoscalingEC2SpotFleetRequestPolicy	/aws-service-role/	AWS managed
AWSApplicationAutoscalingECSServicePolicy	/aws-service-role/	AWS managed
AWSApplicationAutoscalingEMRInstanceGroupPolicy	/aws-service-role/	AWS managed
AWSApplicationAutoscalingLambdaConcurrencyPolicy	/aws-service-role/	AWS managed
