PolicyName	Path	Type
AWSResourceGroupsReadOnlyAccess	/	AWS managed
AWSRoboMakerFullAccess	/	AWS managed
AWSRoboMakerReadOnlyAccess	/	AWS managed
AWSRoboMakerServicePolicy	/aws-service-role/	AWS managed
AWSRoboMakerServiceRolePolicy	/	AWS managed
AWSSavingsPlansFullAccess	/	AWS managed
AWSSavingsPlansReadOnlyAccess	/	AWS managed
AWSSecurityHubFullAccess	/	AWS managed
AWSSecurityHubReadOnlyAccess	/	AWS managed
AWSSecurityHubServiceRolePolicy	/aws-service-role/	AWS managed
AWSServiceCatalogAdminFullAccess	/	AWS managed
AWSServiceCatalogAdminReadOnlyAccess	/	AWS managed
AWSServiceCatalogEndUserFullAccess	/	AWS managed
AWSServiceCatalogEndUserReadOnlyAccess	/	AWS managed
AWSServiceRoleForAmazonEKSNodegroup	/aws-service-role/	AWS managed
AWSServiceRoleForEC2ScheduledInstances	/aws-service-role/	AWS managed
AWSServiceRoleForGammaInternalAmazonEKSNodegroup	/	AWS managed
AWSServiceRoleForImageBuilder	/aws-service-role/	AWS managed
AWSServiceRoleForIoTSiteWise	/aws-service-role/	AWS managed
AWSServiceRoleForLogDeliveryPolicy	/aws-service-role/	AWS managed
AWSServiceRoleForSMS	/aws-service-role/	AWS managed
AWSShieldDRTAccessPolicy	/service-role/	AWS managed
AWSSSODirectoryAdministrator	/	AWS managed
AWSSSODirectoryReadOnly	/	AWS managed
AWSSSOMasterAccountAdministrator	/	AWS managed
AWSSSOMemberAccountAdministrator	/	AWS managed
AWSSSOReadOnly	/	AWS managed
AWSSSOServiceRolePolicy	/aws-service-role/	AWS managed
AWSStepFunctionsConsoleFullAccess	/	AWS managed
AWSStepFunctionsFullAccess	/	AWS managed
AWSStepFunctionsReadOnlyAccess	/	AWS managed
AWSStorageGatewayFullAccess	/	AWS managed
AWSStorageGatewayReadOnlyAccess	/	AWS managed
AWSSupportAccess	/	AWS managed
AWSSupportServiceRolePolicy	/aws-service-role/	AWS managed
AWSSystemsManagerAccountDiscoveryServicePolicy	/aws-service-role/	AWS managed
AWSTransferLoggingAccess	/service-role/	AWS managed
AWSTrustedAdvisorReportingServiceRolePolicy	/aws-service-role/	AWS managed
AWSTrustedAdvisorServiceRolePolicy	/aws-service-role/	AWS managed
AWSVPCS2SVpnServiceRolePolicy	/aws-service-role/	AWS managed
AWSVPCTransitGatewayServiceRolePolicy	/aws-service-role/	AWS managed
AWSWAFFullAccess	/	AWS managed
AWSWAFReadOnlyAccess	/	AWS managed
AWSXRayDaemonWriteAccess	/	AWS managed
AWSXrayFullAccess	/	AWS managed
AWSXrayReadOnlyAccess	/	AWS managed
AWSXrayWriteOnlyAccess	/	AWS managed
Billing	/job-function/	Job function
ClientVPNServiceRolePolicy	/aws-service-role/	AWS managed
CloudFormationStackSetsOrgAdminServiceRolePolicy	/aws-service-role/	AWS managed
CloudFormationStackSetsOrgMemberServiceRolePolicy	/aws-service-role/	AWS managed
CloudFrontFullAccess	/	AWS managed
CloudFrontReadOnlyAccess	/	AWS managed
CloudHSMServiceRolePolicy	/aws-service-role/	AWS managed
CloudSearchFullAccess	/	AWS managed
CloudSearchReadOnlyAccess	/	AWS managed
CloudTrailServiceRolePolicy	/aws-service-role/	AWS managed
CloudWatch-CrossAccountAccess	/aws-service-role/	AWS managed
CloudWatchActionsEC2Access	/	AWS managed
CloudWatchAgentAdminPolicy	/	AWS managed
CloudWatchAgentServerPolicy	/	AWS managed
CloudwatchApplicationInsightsServiceLinkedRolePolicy	/aws-service-role/	AWS managed
CloudWatchAutomaticDashboardsAccess	/	AWS managed
CloudWatchEventsBuiltInTargetExecutionAccess	/service-role/	AWS managed
CloudWatchEventsFullAccess	/	AWS managed
CloudWatchEventsInvocationAccess	/service-role/	AWS managed
CloudWatchEventsReadOnlyAccess	/	AWS managed
CloudWatchEventsServiceRolePolicy	/aws-service-role/	AWS managed
CloudWatchFullAccess	/	AWS managed
CloudWatchLogsFullAccess	/	AWS managed
CloudWatchLogsReadOnlyAccess	/	AWS managed
CloudWatchReadOnlyAccess	/	AWS managed
CloudWatchSyntheticsFullAccess	/	AWS managed
CloudWatchSyntheticsReadOnlyAccess	/	AWS managed
ComprehendDataAccessRolePolicy	/service-role/	AWS managed
ComprehendFullAccess	/	AWS managed
ComprehendMedicalFullAccess	/	AWS managed
ComprehendReadOnly	/	AWS managed
ComputeOptimizerServiceRolePolicy	/aws-service-role/	AWS managed
ConfigConformsServiceRolePolicy	/aws-service-role/	AWS managed
DatabaseAdministrator	/job-function/	Job function
DataScientist	/job-function/	Job function
DAXServiceRolePolicy	/aws-service-role/	AWS managed
DynamoDBCloudWatchContributorInsightsServiceRolePolicy	/aws-service-role/	AWS managed
DynamoDBReplicationServiceRolePolicy	/aws-service-role/	AWS managed
EC2FleetTimeShiftableServiceRolePolicy	/aws-service-role/	AWS managed
EC2InstanceConnect	/	AWS managed
EC2InstanceProfileForImageBuilder	/	AWS managed
ElastiCacheServiceRolePolicy	/aws-service-role/	AWS managed
ElasticLoadBalancingFullAccess	/	AWS managed
ElasticLoadBalancingReadOnly	/	AWS managed
ElementalAppliancesSoftwareFullAccess	/	AWS managed
FMSServiceRolePolicy	/aws-service-role/	AWS managed
FSxDeleteServiceLinkedRoleAccess	/aws-service-role/	AWS managed
GlobalAcceleratorFullAccess	/	AWS managed
GlobalAcceleratorReadOnlyAccess	/	AWS managed
GreengrassOTAUpdateArtifactAccess	/service-role/	AWS managed
Health_OrganizationsServiceRolePolicy	/aws-service-role/	AWS managed
IAMAccessAdvisorReadOnly	/	AWS managed
IAMAccessAnalyzerFullAccess	/	AWS managed
IAMAccessAnalyzerReadOnlyAccess	/	AWS managed
IAMFullAccess	/	AWS managed
IAMReadOnlyAccess	/	AWS managed
IAMSelfManageServiceSpecificCredentials	/	AWS managed
IAMUserChangePassword	/	AWS managed
IAMUserSSHKeys	/	AWS managed
KafkaServiceRolePolicy	/aws-service-role/	AWS managed
LakeFormationDataAccessServiceRolePolicy	/aws-service-role/	AWS managed
LexBotPolicy	/aws-service-role/	AWS managed
LexChannelPolicy	/aws-service-role/	AWS managed
LightsailExportAccess	/aws-service-role/	AWS managed
MigrationHubDMSAccessServiceRolePolicy	/aws-service-role/	AWS managed
MigrationHubServiceRolePolicy	/aws-service-role/	AWS managed
MigrationHubSMSAccessServiceRolePolicy	/aws-service-role/	AWS managed
NeptuneConsoleFullAccess	/	AWS managed
NeptuneFullAccess	/	AWS managed
NeptuneReadOnlyAccess	/	AWS managed
NetworkAdministrator	/job-function/	Job function
PowerUserAccess	/	Job function
QuickSightAccessForS3StorageManagementAnalyticsReadOnly	/service-role/	AWS managed
RDSCloudHsmAuthorizationRole	/service-role/	AWS managed
ReadOnlyAccess	/	AWS managed
ResourceGroupsandTagEditorFullAccess	/	AWS managed
ResourceGroupsandTagEditorReadOnlyAccess	/	AWS managed
SecretsManagerReadWrite	/	AWS managed
SecurityAudit	/	Job function
ServerMigrationConnector	/	AWS managed
ServerMigrationServiceLaunchRole	/service-role/	AWS managed
ServerMigrationServiceRole	/service-role/	AWS managed
ServiceQuotasFullAccess	/	AWS managed
ServiceQuotasReadOnlyAccess	/	AWS managed
ServiceQuotasServiceRolePolicy	/aws-service-role/	AWS managed
SimpleWorkflowFullAccess	/	AWS managed
SupportUser	/job-function/	Job function
SystemAdministrator	/job-function/	Job function
TagPoliciesServiceRolePolicy	/aws-service-role/	AWS managed
TranslateFullAccess	/	AWS managed
TranslateReadOnly	/	AWS managed
ViewOnlyAccess	/job-function/	Job function
VMImportExportRoleForAWSConnector	/service-role/	AWS managed
WAFLoggingServiceRolePolicy	/aws-service-role/	AWS managed
WAFRegionalLoggingServiceRolePolicy	/aws-service-role/	AWS managed
WAFV2LoggingServiceRolePolicy	/aws-service-role/	AWS managed
WellArchitectedConsoleFullAccess	/	AWS managed
WellArchitectedConsoleReadOnlyAccess	/	AWS managed
WorkLinkServiceRolePolicy	/	AWS managed
